GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,mhhinc,TimeFrame,GeoVintage,Source,Location
Census Tract,53053060200,WA,53053060200,53053060200,86563,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053060300,WA,53053060300,53053060300,95699,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053060400,WA,53053060400,53053060400,125240,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053060500,WA,53053060500,53053060500,150000,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053060600,WA,53053060600,53053060600,89929,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053060700,WA,53053060700,53053060700,114212,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053060800,WA,53053060800,53053060800,106033,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053060903,WA,53053060903,53053060903,78615,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053060904,WA,53053060904,53053060904,83214,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053060906,WA,53053060906,53053060906,80417,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053060907,WA,53053060907,53053060907,52747,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053060908,WA,53053060908,53053060908,124300,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053061001,WA,53053061001,53053061001,84674,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053061002,WA,53053061002,53053061002,48242,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053061100,WA,53053061100,53053061100,75750,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053061200,WA,53053061200,53053061200,75268,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053061300,WA,53053061300,53053061300,66130,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053061400,WA,53053061400,53053061400,33140,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053061501,WA,53053061501,53053061501,55101,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053061502,WA,53053061502,53053061502,61293,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053061601,WA,53053061601,53053061601,28359,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053061602,WA,53053061602,53053061602,49545,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053061700,WA,53053061700,53053061700,69315,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053061800,WA,53053061800,53053061800,67554,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053061900,WA,53053061900,53053061900,56667,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053062000,WA,53053062000,53053062000,53345,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053062300,WA,53053062300,53053062300,72388,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053062400,WA,53053062400,53053062400,63542,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053062501,WA,53053062501,53053062501,72786,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053062502,WA,53053062502,53053062502,64761,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053062600,WA,53053062600,53053062600,53415,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053062801,WA,53053062801,53053062801,39567,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053062802,WA,53053062802,53053062802,68926,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053062901,WA,53053062901,53053062901,52202,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053062902,WA,53053062902,53053062902,71806,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053063000,WA,53053063000,53053063000,70729,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053063100,WA,53053063100,53053063100,75238,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053063200,WA,53053063200,53053063200,74178,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053063301,WA,53053063301,53053063301,65018,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053063302,WA,53053063302,53053063302,69583,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053063401,WA,53053063401,53053063401,42387,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053063402,WA,53053063402,53053063402,56434,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053063501,WA,53053063501,53053063501,60625,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053063502,WA,53053063502,53053063502,52750,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053070100,WA,53053070100,53053070100,102245,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053070204,WA,53053070204,53053070204,97045,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053070205,WA,53053070205,53053070205,88021,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053070206,WA,53053070206,53053070206,109236,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053070207,WA,53053070207,53053070207,118152,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053070208,WA,53053070208,53053070208,124519,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053070209,WA,53053070209,53053070209,89443,2017-2021,2020,Census,"Pierce (County, 2020)"
